StudentSK,id_student,gender,age_band,highest_education,region,imd_band,num_of_prev_attempts,disability
2817,411642,F,0-35,HE Qualification,West Midlands Region,0-10%,1,N
2818,413052,F,0-35,Lower Than A Level,North Region,0-10%,3,Y
2819,413248,M,35-55,HE Qualification,Wales,0-10%,0,N
2820,414028,F,35-55,A Level or Equivalent,Scotland,70-80%,0,N
2821,414350,F,35-55,Lower Than A Level,East Anglian Region,50-60%,1,Y
2822,414495,M,0-35,A Level or Equivalent,North Western Region,90-100%,0,N
2823,415216,F,0-35,A Level or Equivalent,South West Region,90-100%,0,N
2824,415546,F,0-35,HE Qualification,Ireland,90-100%,0,N
2825,415698,F,0-35,A Level or Equivalent,South East Region,50-60%,1,N
2826,417657,F,0-35,A Level or Equivalent,Scotland,60-70%,0,N
2827,417677,F,0-35,Lower Than A Level,East Anglian Region,20-30%,1,N
2828,417785,F,35-55,A Level or Equivalent,North Western Region,60-70%,1,N
2829,417967,F,35-55,A Level or Equivalent,London Region,40-50%,0,N
2830,419375,F,0-35,Lower Than A Level,Wales,40-50%,0,N
2831,420163,F,35-55,HE Qualification,South West Region,40-50%,0,N
2832,420724,F,35-55,Lower Than A Level,South West Region,80-90%,1,N
2833,421018,F,0-35,HE Qualification,West Midlands Region,0-10%,0,N
2834,422223,F,0-35,A Level or Equivalent,South East Region,40-50%,3,N
2835,422479,F,0-35,Lower Than A Level,South East Region,90-100%,1,N
2836,422505,F,0-35,Lower Than A Level,London Region,20-30%,1,N
2837,423399,M,0-35,A Level or Equivalent,Wales,90-100%,0,N
2838,424014,F,35-55,Lower Than A Level,Scotland,80-90%,1,N
2839,424539,F,0-35,Lower Than A Level,West Midlands Region,0-10%,2,N
2840,424637,F,35-55,HE Qualification,West Midlands Region,0-10%,2,N
2841,426458,F,0-35,Lower Than A Level,Wales,30-40%,0,N
2842,427683,F,0-35,Lower Than A Level,Scotland,20-30%,0,N
2843,427921,F,0-35,Lower Than A Level,West Midlands Region,10-20,0,N
2844,428323,F,35-55,A Level or Equivalent,Wales,30-40%,0,N
2845,428653,M,0-35,Lower Than A Level,West Midlands Region,20-30%,0,N
2846,429610,F,35-55,Lower Than A Level,East Anglian Region,50-60%,0,N
2847,430352,F,0-35,Lower Than A Level,Scotland,0-10%,0,N
2848,430392,F,35-55,Lower Than A Level,South East Region,20-30%,1,N
2849,430708,F,0-35,A Level or Equivalent,Yorkshire Region,70-80%,0,N
2850,432144,F,0-35,A Level or Equivalent,South East Region,60-70%,0,N
2851,432237,F,35-55,HE Qualification,Wales,30-40%,0,N
2852,433280,F,0-35,A Level or Equivalent,Wales,80-90%,0,N
2853,433864,M,0-35,HE Qualification,Scotland,60-70%,0,N
2854,434035,F,0-35,Lower Than A Level,North Western Region,0-10%,2,N
2855,434397,F,0-35,A Level or Equivalent,West Midlands Region,30-40%,0,N
2856,434585,F,0-35,A Level or Equivalent,East Anglian Region,70-80%,0,N
2857,437030,F,0-35,Lower Than A Level,Ireland,0-10%,0,Y
2858,438068,F,35-55,Lower Than A Level,Yorkshire Region,50-60%,0,N
2859,438551,M,0-35,Lower Than A Level,Wales,50-60%,0,N
2860,439182,F,0-35,A Level or Equivalent,East Anglian Region,50-60%,0,N
2861,439294,F,0-35,Lower Than A Level,West Midlands Region,0-10%,3,N
2862,439684,F,0-35,A Level or Equivalent,London Region,0-10%,1,N
2863,440225,F,35-55,Lower Than A Level,East Anglian Region,50-60%,0,N
2864,440563,F,35-55,Lower Than A Level,North Western Region,20-30%,0,N
2865,440593,M,0-35,Lower Than A Level,West Midlands Region,50-60%,1,N
2866,440751,M,35-55,Lower Than A Level,South West Region,10-20,1,N
2867,440765,F,0-35,Lower Than A Level,North Western Region,20-30%,2,N
2868,442144,F,0-35,Lower Than A Level,North Western Region,10-20,2,N
2869,442910,F,0-35,Lower Than A Level,West Midlands Region,0-10%,2,N
2870,443923,F,0-35,Lower Than A Level,North Western Region,20-30%,0,N
2871,444225,F,0-35,A Level or Equivalent,Yorkshire Region,70-80%,2,N
2872,444729,F,0-35,Lower Than A Level,South Region,90-100%,1,N
2873,444821,F,0-35,A Level or Equivalent,Yorkshire Region,40-50%,0,N
2874,444960,F,0-35,Lower Than A Level,East Anglian Region,40-50%,2,N
2875,445230,F,35-55,A Level or Equivalent,East Anglian Region,40-50%,0,N
2876,445351,F,0-35,Lower Than A Level,South West Region,60-70%,0,N
2877,445760,F,0-35,A Level or Equivalent,East Anglian Region,70-80%,0,N
2878,446345,F,0-35,A Level or Equivalent,Ireland,20-30%,0,N
2879,446873,F,0-35,Lower Than A Level,North Western Region,0-10%,0,N
2880,447086,M,0-35,A Level or Equivalent,East Midlands Region,30-40%,1,N
2881,447516,F,0-35,Lower Than A Level,London Region,50-60%,0,N
2882,464525,M,35-55,A Level or Equivalent,South Region,20-30%,0,N
2883,466202,F,0-35,Lower Than A Level,Wales,40-50%,3,N
2884,466477,F,0-35,Lower Than A Level,South Region,40-50%,1,N
2885,466854,F,0-35,A Level or Equivalent,East Midlands Region,50-60%,1,N
2886,467179,F,35-55,Lower Than A Level,East Midlands Region,60-70%,0,Y
2887,467330,F,35-55,Lower Than A Level,South East Region,10-20,2,Y
2888,467396,F,0-35,Lower Than A Level,Wales,60-70%,1,N
2889,467606,F,0-35,Lower Than A Level,South West Region,50-60%,1,Y
2890,467721,F,35-55,Lower Than A Level,South Region,20-30%,0,N
2891,468187,M,0-35,No Formal quals,East Anglian Region,20-30%,1,N
2892,468482,F,0-35,A Level or Equivalent,South Region,40-50%,0,Y
2893,469878,F,0-35,A Level or Equivalent,South East Region,70-80%,0,N
2894,470869,F,35-55,A Level or Equivalent,South East Region,30-40%,1,N
2895,471196,F,35-55,A Level or Equivalent,East Anglian Region,90-100%,0,N
2896,471434,F,35-55,A Level or Equivalent,London Region,10-20,0,N
2897,471711,F,35-55,A Level or Equivalent,East Midlands Region,0-10%,1,N
2898,472262,F,35-55,Lower Than A Level,London Region,60-70%,0,N
2899,472327,M,0-35,Lower Than A Level,East Anglian Region,70-80%,0,N
2900,473509,M,35-55,Lower Than A Level,West Midlands Region,90-100%,1,N
2901,474071,M,0-35,Lower Than A Level,East Anglian Region,90-100%,1,Y
2902,475215,F,0-35,A Level or Equivalent,Scotland,40-50%,0,N
2903,475241,F,0-35,Lower Than A Level,Scotland,30-40%,0,Y
2904,475594,F,0-35,A Level or Equivalent,East Midlands Region,80-90%,0,Y
2905,475682,F,0-35,Lower Than A Level,Yorkshire Region,0-10%,1,N
2906,476278,F,35-55,HE Qualification,Scotland,70-80%,0,N
2907,477319,F,35-55,HE Qualification,South Region,60-70%,0,N
2908,477825,F,0-35,Lower Than A Level,South East Region,40-50%,0,N
2909,478069,F,35-55,Lower Than A Level,Yorkshire Region,10-20,0,N
2910,478967,F,35-55,A Level or Equivalent,Ireland,40-50%,1,N
2911,479020,F,35-55,Lower Than A Level,South Region,20-30%,0,N
2912,479170,F,0-35,HE Qualification,Yorkshire Region,20-30%,0,N
2913,479305,F,0-35,Lower Than A Level,London Region,20-30%,0,N
2914,479853,F,35-55,A Level or Equivalent,London Region,0-10%,0,N
2915,480667,F,35-55,A Level or Equivalent,West Midlands Region,50-60%,0,N
2916,480888,F,35-55,Lower Than A Level,West Midlands Region,70-80%,0,N
2917,481448,F,0-35,Lower Than A Level,East Anglian Region,60-70%,1,N
2918,482356,F,0-35,Lower Than A Level,Wales,10-20,0,N
2919,482556,F,35-55,A Level or Equivalent,East Anglian Region,90-100%,0,N
2920,482680,M,0-35,A Level or Equivalent,Scotland,60-70%,0,Y
2921,482810,F,0-35,A Level or Equivalent,South East Region,30-40%,0,N
2922,483135,F,35-55,Lower Than A Level,East Anglian Region,20-30%,1,N
2923,483339,M,35-55,Lower Than A Level,London Region,10-20,1,N
2924,483646,F,35-55,Lower Than A Level,East Midlands Region,60-70%,0,N
2925,483703,F,0-35,A Level or Equivalent,North Western Region,40-50%,0,N
2926,483744,F,0-35,Lower Than A Level,West Midlands Region,80-90%,0,Y
2927,483876,F,0-35,No Formal quals,London Region,50-60%,0,N
2928,484301,F,0-35,A Level or Equivalent,East Midlands Region,10-20,0,Y
2929,484412,F,35-55,A Level or Equivalent,South West Region,0-10%,0,N
2930,484446,F,0-35,A Level or Equivalent,South West Region,20-30%,0,N
2931,485006,F,35-55,Lower Than A Level,Wales,10-20,0,Y
2932,485439,F,35-55,Lower Than A Level,Wales,0-10%,1,Y
2933,485534,F,35-55,A Level or Equivalent,Wales,0-10%,0,N
2934,485560,F,0-35,Lower Than A Level,East Anglian Region,40-50%,1,N
2935,485762,F,0-35,A Level or Equivalent,Yorkshire Region,20-30%,0,N
2936,485772,F,0-35,Lower Than A Level,Yorkshire Region,70-80%,0,N
2937,486004,F,0-35,Lower Than A Level,East Anglian Region,60-70%,0,N
2938,486457,F,0-35,A Level or Equivalent,London Region,10-20,0,N
2939,486550,F,0-35,A Level or Equivalent,Wales,80-90%,0,N
2940,487214,F,0-35,Lower Than A Level,Ireland,40-50%,0,N
2941,487371,F,35-55,HE Qualification,Scotland,10-20,0,N
2942,487681,F,0-35,Lower Than A Level,Wales,0-10%,0,N
2943,488176,F,35-55,A Level or Equivalent,West Midlands Region,30-40%,0,N
2944,488195,F,0-35,A Level or Equivalent,Yorkshire Region,30-40%,0,N
2945,488427,F,0-35,Lower Than A Level,East Anglian Region,60-70%,0,N
2946,488908,F,0-35,A Level or Equivalent,Scotland,90-100%,1,Y
2947,489320,F,0-35,Lower Than A Level,South Region,70-80%,1,Y
2948,489889,M,0-35,A Level or Equivalent,West Midlands Region,0-10%,0,N
2949,489966,F,0-35,Lower Than A Level,West Midlands Region,0-10%,0,N
2950,490500,F,0-35,Lower Than A Level,South West Region,0-10%,0,N
2951,490677,F,35-55,A Level or Equivalent,Yorkshire Region,0-10%,0,N
2952,490894,F,35-55,A Level or Equivalent,London Region,10-20,1,N
2953,491097,F,0-35,Lower Than A Level,North Region,0-10%,1,Y
2954,491279,F,35-55,Lower Than A Level,Scotland,30-40%,1,Y
2955,491758,F,35-55,Lower Than A Level,East Anglian Region,80-90%,0,N
2956,491907,F,0-35,Lower Than A Level,South East Region,50-60%,1,N
2957,491966,F,0-35,A Level or Equivalent,East Anglian Region,60-70%,1,N
2958,492153,F,35-55,A Level or Equivalent,East Anglian Region,90-100%,0,Y
2959,492229,F,0-35,A Level or Equivalent,North Western Region,10-20,1,Y
2960,492247,M,0-35,Lower Than A Level,South East Region,20-30%,0,N
2961,492286,F,35-55,Lower Than A Level,London Region,80-90%,0,N
2962,492478,F,0-35,A Level or Equivalent,East Anglian Region,20-30%,0,N
2963,492726,F,0-35,A Level or Equivalent,Scotland,0-10%,0,N
2964,493453,F,0-35,Lower Than A Level,South Region,70-80%,0,N
2965,493465,F,0-35,A Level or Equivalent,South Region,70-80%,0,N
2966,493672,F,35-55,Lower Than A Level,Scotland,70-80%,0,N
2967,493891,F,0-35,A Level or Equivalent,North Western Region,20-30%,0,N
2968,493999,F,35-55,Lower Than A Level,South East Region,30-40%,0,N
2969,494214,F,35-55,A Level or Equivalent,South West Region,50-60%,0,N
2970,494471,F,0-35,Lower Than A Level,Ireland,80-90%,0,N
2971,494789,F,0-35,HE Qualification,Wales,80-90%,0,N
2972,494896,F,0-35,Lower Than A Level,East Anglian Region,90-100%,0,N
2973,494960,F,0-35,A Level or Equivalent,London Region,30-40%,0,N
2974,495035,F,0-35,A Level or Equivalent,South Region,70-80%,0,Y
2975,495449,F,0-35,Lower Than A Level,South Region,90-100%,0,N
2976,495509,F,0-35,A Level or Equivalent,North Western Region,30-40%,0,N
2977,495625,M,0-35,A Level or Equivalent,East Anglian Region,60-70%,0,Y
2978,495879,F,35-55,Lower Than A Level,Scotland,40-50%,0,N
2979,496091,F,0-35,Lower Than A Level,Yorkshire Region,0-10%,1,N
2980,496334,F,0-35,A Level or Equivalent,Yorkshire Region,10-20,0,N
2981,496442,F,0-35,Lower Than A Level,West Midlands Region,70-80%,0,N
2982,496764,F,0-35,No Formal quals,Yorkshire Region,30-40%,0,N
2983,497130,F,35-55,Lower Than A Level,South Region,80-90%,0,N
2984,497632,F,0-35,A Level or Equivalent,Wales,90-100%,1,N
2985,497925,F,0-35,Lower Than A Level,East Anglian Region,40-50%,1,N
2986,498543,M,0-35,Lower Than A Level,Scotland,50-60%,1,N
2987,498635,M,35-55,A Level or Equivalent,South West Region,20-30%,1,N
2988,498755,F,0-35,A Level or Equivalent,London Region,0-10%,0,N
2989,498841,F,0-35,A Level or Equivalent,East Midlands Region,70-80%,0,N
2990,498892,M,35-55,Lower Than A Level,Scotland,20-30%,0,N
2991,499373,F,0-35,Lower Than A Level,South West Region,40-50%,0,N
2992,499624,F,0-35,A Level or Equivalent,London Region,20-30%,2,N
2993,499822,F,0-35,HE Qualification,Wales,10-20,0,N
2994,500016,F,35-55,Lower Than A Level,London Region,40-50%,0,N
2995,500135,F,0-35,A Level or Equivalent,East Anglian Region,70-80%,1,Y
2996,500279,F,35-55,A Level or Equivalent,East Anglian Region,60-70%,0,N
2997,500552,F,35-55,Lower Than A Level,London Region,60-70%,0,N
2998,500625,M,0-35,Lower Than A Level,South East Region,10-20,0,N
2999,500668,F,0-35,HE Qualification,Scotland,60-70%,0,N
3000,501053,F,0-35,Lower Than A Level,South East Region,20-30%,1,N
3001,501208,F,35-55,Lower Than A Level,South East Region,60-70%,1,N
3002,501637,F,0-35,A Level or Equivalent,South West Region,20-30%,1,Y
3003,501862,F,0-35,Lower Than A Level,Wales,0-10%,0,N
3004,501945,F,35-55,Lower Than A Level,South Region,40-50%,0,N
3005,502391,M,35-55,HE Qualification,Scotland,10-20,1,N
3006,502452,F,35-55,A Level or Equivalent,South West Region,90-100%,0,N
3007,502621,F,0-35,A Level or Equivalent,South West Region,50-60%,0,Y
3008,503322,F,35-55,Lower Than A Level,South West Region,10-20,0,N
3009,503516,F,0-35,Lower Than A Level,Scotland,70-80%,0,Y
3010,503804,F,0-35,Lower Than A Level,Ireland,10-20,0,N
3011,504013,F,0-35,A Level or Equivalent,Wales,10-20,1,N
3012,504022,F,0-35,A Level or Equivalent,North Region,0-10%,1,N
3013,504466,F,35-55,Lower Than A Level,Scotland,50-60%,1,N
3014,504635,F,0-35,HE Qualification,Wales,90-100%,0,N
3015,504842,F,0-35,Lower Than A Level,East Midlands Region,20-30%,0,N
3016,505413,F,35-55,A Level or Equivalent,South Region,80-90%,0,N
3017,506185,F,0-35,Lower Than A Level,London Region,60-70%,0,N
3018,506248,F,0-35,Lower Than A Level,South East Region,80-90%,0,N
3019,506804,F,0-35,A Level or Equivalent,North Region,20-30%,0,N
3020,506980,F,0-35,A Level or Equivalent,Scotland,20-30%,1,N
3021,507016,F,0-35,A Level or Equivalent,North Western Region,40-50%,0,N
3022,507279,F,0-35,Lower Than A Level,West Midlands Region,10-20,0,Y
3023,507387,F,0-35,A Level or Equivalent,East Anglian Region,50-60%,0,N
3024,507389,F,35-55,Lower Than A Level,Wales,20-30%,0,N
3025,507676,F,0-35,No Formal quals,Yorkshire Region,20-30%,2,N
3026,507944,M,35-55,A Level or Equivalent,North Western Region,0-10%,0,N
3027,508028,F,35-55,A Level or Equivalent,South West Region,30-40%,0,N
3028,508047,F,35-55,Lower Than A Level,South East Region,40-50%,0,Y
3029,508079,F,0-35,Lower Than A Level,Wales,40-50%,0,N
3030,508414,F,35-55,Lower Than A Level,South West Region,60-70%,1,N
3031,508422,M,35-55,Lower Than A Level,Ireland,40-50%,1,N
3032,508517,F,0-35,No Formal quals,Yorkshire Region,30-40%,2,N
3033,508759,F,0-35,A Level or Equivalent,East Anglian Region,30-40%,0,N
3034,509036,F,0-35,A Level or Equivalent,Scotland,60-70%,0,N
3035,509236,F,0-35,A Level or Equivalent,Yorkshire Region,30-40%,0,N
3036,509258,F,0-35,Lower Than A Level,North Western Region,60-70%,0,N
3037,509390,F,0-35,A Level or Equivalent,South Region,90-100%,1,Y
3038,509607,F,0-35,Lower Than A Level,North Region,Unknown,1,N
3039,509845,F,0-35,A Level or Equivalent,West Midlands Region,0-10%,0,N
3040,509913,F,35-55,Lower Than A Level,North Western Region,10-20,0,N
3041,510149,F,35-55,Lower Than A Level,East Anglian Region,90-100%,0,N
3042,510438,F,35-55,A Level or Equivalent,North Western Region,20-30%,0,N
3043,510650,F,0-35,Lower Than A Level,South West Region,70-80%,0,Y
3044,510776,F,0-35,Lower Than A Level,London Region,20-30%,1,N
3045,510868,F,35-55,A Level or Equivalent,London Region,30-40%,0,N
3046,511678,F,0-35,A Level or Equivalent,South Region,20-30%,0,N
3047,512417,F,0-35,A Level or Equivalent,Scotland,10-20,1,N
3048,512581,F,0-35,Lower Than A Level,Scotland,60-70%,1,N
3049,512775,F,35-55,HE Qualification,Scotland,0-10%,0,N
3050,512839,M,0-35,Lower Than A Level,Yorkshire Region,20-30%,0,N
3051,512940,F,0-35,Lower Than A Level,Wales,30-40%,0,N
3052,512977,M,0-35,A Level or Equivalent,North Western Region,0-10%,0,N
3053,513076,F,0-35,Lower Than A Level,North Western Region,0-10%,0,Y
3054,513648,F,0-35,A Level or Equivalent,Yorkshire Region,0-10%,0,N
3055,513836,F,35-55,HE Qualification,East Anglian Region,40-50%,0,N
3056,514043,F,35-55,A Level or Equivalent,London Region,60-70%,1,N
3057,514074,F,35-55,A Level or Equivalent,East Midlands Region,20-30%,0,N
3058,514302,F,35-55,Lower Than A Level,East Anglian Region,70-80%,0,N
3059,514445,F,0-35,A Level or Equivalent,Wales,20-30%,0,N
3060,514776,F,0-35,Lower Than A Level,Scotland,40-50%,2,Y
3061,514824,F,0-35,A Level or Equivalent,London Region,20-30%,1,N
3062,514864,F,0-35,Lower Than A Level,West Midlands Region,10-20,0,N
3063,515203,F,0-35,Lower Than A Level,Wales,80-90%,0,N
3064,515209,F,35-55,HE Qualification,East Midlands Region,70-80%,0,N
3065,515417,M,35-55,HE Qualification,Ireland,0-10%,0,N
3066,515646,F,0-35,Lower Than A Level,East Anglian Region,60-70%,0,N
3067,515676,F,0-35,Lower Than A Level,East Midlands Region,50-60%,0,N
3068,516055,F,0-35,A Level or Equivalent,South West Region,50-60%,0,N
3069,516165,F,0-35,Lower Than A Level,West Midlands Region,40-50%,0,N
3070,516212,F,0-35,A Level or Equivalent,East Midlands Region,20-30%,0,N
3071,516214,F,0-35,A Level or Equivalent,London Region,40-50%,0,N
3072,516364,F,35-55,Lower Than A Level,East Anglian Region,70-80%,0,N
3073,516447,F,0-35,Lower Than A Level,Scotland,30-40%,2,N
3074,516926,M,0-35,Lower Than A Level,North Western Region,10-20,0,Y
3075,517000,F,35-55,A Level or Equivalent,North Western Region,10-20,2,N
3076,517016,F,0-35,A Level or Equivalent,South Region,80-90%,0,Y
3077,517075,F,0-35,A Level or Equivalent,South West Region,40-50%,0,N
3078,517231,F,35-55,A Level or Equivalent,Scotland,50-60%,0,N
3079,517352,F,0-35,Lower Than A Level,East Anglian Region,60-70%,0,N
3080,517553,F,0-35,Lower Than A Level,Wales,80-90%,1,N
3081,517922,F,0-35,Lower Than A Level,West Midlands Region,70-80%,0,N
3082,518029,F,0-35,Lower Than A Level,South East Region,80-90%,1,N
3083,518126,F,0-35,A Level or Equivalent,West Midlands Region,10-20,1,N
3084,518223,M,0-35,Lower Than A Level,East Anglian Region,10-20,1,Y
3085,518258,F,0-35,Lower Than A Level,South East Region,70-80%,0,N
3086,518496,F,35-55,Lower Than A Level,East Anglian Region,70-80%,0,Y
3087,519294,F,0-35,Lower Than A Level,East Anglian Region,60-70%,0,N
3088,519584,F,0-35,Lower Than A Level,South Region,20-30%,0,N
3089,519622,F,0-35,A Level or Equivalent,East Midlands Region,80-90%,1,Y
3090,519751,F,0-35,No Formal quals,Yorkshire Region,20-30%,0,N
3091,519945,F,35-55,Lower Than A Level,London Region,60-70%,0,N
3092,520002,F,0-35,Lower Than A Level,East Anglian Region,70-80%,0,N
3093,520006,F,35-55,A Level or Equivalent,East Midlands Region,80-90%,0,N
3094,520024,F,0-35,A Level or Equivalent,Yorkshire Region,10-20,0,N
3095,520100,F,0-35,Lower Than A Level,South East Region,90-100%,0,N
3096,520153,F,0-35,Lower Than A Level,West Midlands Region,40-50%,0,N
3097,520286,F,35-55,Lower Than A Level,Wales,60-70%,0,N
3098,520325,F,0-35,Lower Than A Level,South Region,50-60%,0,N
3099,521209,M,0-35,Lower Than A Level,North Region,0-10%,0,N
3100,521341,F,35-55,HE Qualification,South Region,90-100%,0,Y
3101,521456,F,0-35,A Level or Equivalent,North Western Region,0-10%,0,N
3102,521509,F,0-35,Lower Than A Level,South West Region,40-50%,0,N
3103,521590,F,0-35,Lower Than A Level,North Western Region,0-10%,0,N
3104,521666,F,0-35,A Level or Equivalent,Yorkshire Region,50-60%,1,N
3105,521895,F,0-35,A Level or Equivalent,North Region,Unknown,0,N
3106,521957,F,0-35,Lower Than A Level,Ireland,70-80%,2,N
3107,522426,F,35-55,HE Qualification,Scotland,70-80%,0,N
3108,522434,M,35-55,Lower Than A Level,Scotland,0-10%,0,N
3109,522441,M,35-55,A Level or Equivalent,Scotland,90-100%,0,N
3110,522443,F,35-55,A Level or Equivalent,Scotland,40-50%,0,N
3111,522446,F,35-55,A Level or Equivalent,Scotland,60-70%,0,N
3112,522529,F,35-55,A Level or Equivalent,Scotland,0-10%,0,N
3113,522622,F,0-35,Lower Than A Level,Wales,10-20,1,N
3114,522650,F,0-35,Lower Than A Level,East Anglian Region,90-100%,0,N
3115,522714,F,0-35,A Level or Equivalent,Wales,30-40%,0,N
3116,522792,F,0-35,Lower Than A Level,Yorkshire Region,60-70%,0,N
3117,522889,F,0-35,Lower Than A Level,Scotland,50-60%,0,N
3118,522891,F,35-55,Lower Than A Level,Scotland,50-60%,0,N
3119,522894,F,35-55,HE Qualification,Scotland,30-40%,0,N
3120,522899,F,35-55,HE Qualification,Scotland,50-60%,0,N
3121,523331,F,35-55,Lower Than A Level,London Region,10-20,0,N
3122,523398,F,0-35,A Level or Equivalent,South Region,60-70%,1,N
3123,523466,F,0-35,A Level or Equivalent,Wales,0-10%,0,N
3124,523545,F,0-35,HE Qualification,Scotland,50-60%,0,N
3125,523655,F,0-35,Lower Than A Level,Wales,20-30%,0,N
3126,523757,F,35-55,Lower Than A Level,North Western Region,0-10%,1,N
3127,523857,F,0-35,HE Qualification,West Midlands Region,20-30%,0,Y
3128,523875,F,35-55,A Level or Equivalent,Scotland,50-60%,0,N
3129,523885,F,0-35,A Level or Equivalent,Scotland,10-20,0,N
3130,523928,F,35-55,A Level or Equivalent,London Region,10-20,0,N
3131,524076,F,0-35,A Level or Equivalent,London Region,20-30%,0,N
3132,524790,F,35-55,A Level or Equivalent,South East Region,90-100%,0,N
3133,525877,F,0-35,Lower Than A Level,Scotland,0-10%,2,Y
3134,525885,F,0-35,HE Qualification,South East Region,40-50%,1,N
3135,525974,F,0-35,Lower Than A Level,East Anglian Region,50-60%,0,N
3136,526088,F,0-35,Lower Than A Level,East Anglian Region,40-50%,0,N
3137,526177,F,0-35,Lower Than A Level,Scotland,40-50%,0,N
3138,526810,F,0-35,A Level or Equivalent,North Region,10-20,0,N
3139,527393,F,0-35,Lower Than A Level,Scotland,40-50%,0,N
3140,527580,F,0-35,Lower Than A Level,West Midlands Region,80-90%,0,N
3141,527636,F,0-35,A Level or Equivalent,Wales,0-10%,1,N
3142,527689,F,0-35,Lower Than A Level,Scotland,10-20,0,N
3143,527799,M,35-55,A Level or Equivalent,London Region,10-20,1,N
3144,528056,F,0-35,A Level or Equivalent,South West Region,30-40%,1,N
3145,528204,F,0-35,Lower Than A Level,North Western Region,0-10%,0,N
3146,528464,F,0-35,A Level or Equivalent,South East Region,90-100%,2,N
3147,528642,F,0-35,Lower Than A Level,Wales,40-50%,0,N
3148,529000,F,0-35,Lower Than A Level,East Anglian Region,60-70%,0,Y
3149,529163,F,0-35,Lower Than A Level,South Region,40-50%,1,N
3150,529597,F,0-35,Lower Than A Level,East Midlands Region,0-10%,0,Y
3151,529795,F,0-35,HE Qualification,Scotland,70-80%,0,N
3152,530021,F,0-35,A Level or Equivalent,London Region,40-50%,0,N
3153,530112,F,0-35,Lower Than A Level,Scotland,40-50%,1,N
3154,530487,F,0-35,HE Qualification,London Region,40-50%,0,N
3155,530514,F,0-35,Lower Than A Level,East Midlands Region,10-20,0,Y
3156,530753,F,0-35,Lower Than A Level,Ireland,0-10%,0,Y
3157,530841,F,0-35,A Level or Equivalent,North Region,30-40%,0,N
3158,531287,F,35-55,A Level or Equivalent,Yorkshire Region,0-10%,0,N
3159,531384,F,0-35,Lower Than A Level,Scotland,50-60%,0,N
3160,531643,F,35-55,A Level or Equivalent,North Western Region,10-20,0,N
3161,532114,F,35-55,A Level or Equivalent,Yorkshire Region,0-10%,0,N
3162,532335,F,0-35,Lower Than A Level,South Region,70-80%,0,N
3163,532477,F,35-55,A Level or Equivalent,Scotland,30-40%,0,N
3164,532615,F,35-55,Lower Than A Level,Wales,50-60%,0,N
3165,532739,F,0-35,HE Qualification,Scotland,30-40%,0,N
3166,532750,F,0-35,A Level or Equivalent,London Region,30-40%,0,N
3167,532868,F,0-35,Lower Than A Level,East Anglian Region,70-80%,0,N
3168,532869,F,0-35,Lower Than A Level,Yorkshire Region,50-60%,0,N
3169,533091,M,35-55,Lower Than A Level,North Western Region,80-90%,0,N
3170,533164,F,0-35,Lower Than A Level,Wales,10-20,1,N
3171,533301,F,0-35,A Level or Equivalent,East Anglian Region,70-80%,0,Y
3172,533414,F,0-35,Lower Than A Level,East Anglian Region,30-40%,1,N
3173,533449,M,0-35,Lower Than A Level,Yorkshire Region,70-80%,0,N
3174,534133,F,0-35,Lower Than A Level,Yorkshire Region,0-10%,0,N
3175,534323,F,35-55,A Level or Equivalent,North Region,40-50%,0,N
3176,534816,F,0-35,Lower Than A Level,West Midlands Region,10-20,1,N
3177,534946,F,0-35,A Level or Equivalent,Yorkshire Region,10-20,0,N
3178,534998,F,0-35,Lower Than A Level,North Region,Unknown,1,N
3179,535168,F,0-35,A Level or Equivalent,North Western Region,20-30%,0,N
3180,535379,F,0-35,A Level or Equivalent,East Anglian Region,60-70%,0,N
3181,535833,F,0-35,Lower Than A Level,South West Region,20-30%,0,N
3182,536318,F,35-55,A Level or Equivalent,East Anglian Region,30-40%,0,N
3183,536409,F,0-35,A Level or Equivalent,East Midlands Region,40-50%,0,N
3184,536487,F,0-35,Lower Than A Level,Scotland,20-30%,1,N
3185,536632,F,0-35,HE Qualification,Ireland,70-80%,0,N
3186,536649,F,35-55,Lower Than A Level,Ireland,10-20,0,N
3187,536660,F,0-35,Lower Than A Level,Ireland,40-50%,0,N
3188,536663,M,35-55,A Level or Equivalent,Ireland,50-60%,0,N
3189,536664,F,35-55,Lower Than A Level,Ireland,60-70%,0,N
3190,536666,F,0-35,Lower Than A Level,London Region,40-50%,0,N
3191,536852,F,0-35,Lower Than A Level,East Anglian Region,40-50%,0,N
3192,536992,F,0-35,A Level or Equivalent,South Region,50-60%,0,N
3193,537271,F,0-35,A Level or Equivalent,South Region,80-90%,0,N
3194,538210,F,0-35,Lower Than A Level,West Midlands Region,50-60%,0,N
3195,539299,F,0-35,Lower Than A Level,East Midlands Region,0-10%,1,N
3196,539414,F,0-35,A Level or Equivalent,South East Region,60-70%,0,N
3197,539670,M,35-55,A Level or Equivalent,East Anglian Region,0-10%,0,N
3198,540005,F,0-35,A Level or Equivalent,West Midlands Region,0-10%,1,N
3199,540249,M,35-55,A Level or Equivalent,East Anglian Region,0-10%,0,N
3200,540293,F,35-55,Lower Than A Level,Wales,10-20,0,N
3201,540521,F,0-35,A Level or Equivalent,East Anglian Region,30-40%,0,N
3202,540602,F,0-35,Lower Than A Level,South Region,80-90%,0,N
